name,mm_x,mm_y,um_x,um_y
A17-40_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-40_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-47_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-47_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-47_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-47_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-56_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-56_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-56_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-56_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-57_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-57_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-57_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-57_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-71_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-71_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-71_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-71_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-7_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-7_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-7_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-7_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-38_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-38_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-38_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-38_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-47_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-47_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-47_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-47_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-61_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-61_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-61_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-61_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-11_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-11_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-11_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-11_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-13_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-13_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-13_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-13_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-17_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-17_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-17_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-17_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-35_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-35_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-35_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-35_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-142_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-142_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-142_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-142_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-70_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-70_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-70_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-70_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E19-132_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-132_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-132_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-132_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-139_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-139_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-139_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-139_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-131_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-131_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-131_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-131_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-141_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-141_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-141_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E19-141_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E08-145_2A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-145_2B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-145_2D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-145_2F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-92_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-92_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-92_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-92_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-45_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-45_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-45_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-27_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-27_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-27_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-27_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-49_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-49_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-49_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-49_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-37_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-37_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-37_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-37_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E18-70_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-70_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-70_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E18-70_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E09-91_1A_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E09-91_1B_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E09-91_1D_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E09-91_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-129_1A_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-129_1B_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-129_1F_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-129_1D_AT8-drop.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-56_1A_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-56_1B_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-56_1D_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-56_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-63_1A_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-63_1B_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-63_1D_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-63_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-48_1A_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-48_1B_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-48_1D_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-48_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-150_1A_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-150_1B_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-150_1D_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-150_1F_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-137_1A_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-137_1F_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-137_1B_AT8-drop.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-137_1D_AT8-drop.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-110_1A_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-110_1B_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-110_1D_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-110_1F_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-20_1A_tau_4T8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-20_1B_tau-4T8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-20_1D_tau-4T8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-20_1F_tau-4T8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
